pair,basePrice,lockPrice,currentPrice,distance
CADJPY,77.276,77.258,77.258,1.8
EURAUD,1.41693,1.41672,1.41672,2.1
EURCAD,1.41725,1.4196,1.41922,24.7
EURCHF,1.07047,1.06903,1.06908,13.9
EURGBP,0.87231,0.87183,0.87183,4.8
EURJPY,109.725,109.679,109.679,4.6
EURUSD,1.42216,1.42167,1.42167,4.9
GBPAUD,1.62349,1.62485,1.62485,13.6
GBPCAD,1.62721,1.62778,1.62778,5.7
GBPCHF,1.22544,1.22605,1.22605,6.1
GBPJPY,125.761,125.785,125.785,2.4
GBPUSD,1.6301,1.63045,1.63045,3.5
ZARJPY,10.455,10.447,10.447,0.8
EURCAD,0
