1st pair,2nd pair,1st base price,2nd base price,top pair,streak,spread
AUDCAD,AUDCHF,1.0456,0.87225,0,0,0
AUDCAD,AUDJPY,1.0456,81.948,0,0,0
AUDCAD,AUDNZD,1.0456,1.25103,0,0,0
AUDCAD,AUDUSD,1.0456,1.06757,0,0,0
AUDCHF,AUDJPY,0.87225,81.948,0,0,0
AUDCHF,AUDNZD,0.87225,1.25103,0,0,0
AUDCHF,AUDUSD,0.87225,1.06757,0,0,0
AUDJPY,AUDNZD,81.948,1.25103,0,0,0
AUDJPY,AUDUSD,81.948,1.06757,0,0,0
AUDNZD,AUDUSD,1.25103,1.06757,0,0,0
CADCHF,CADJPY,0.83407,78.358,0,0,0
EURAUD,EURCAD,1.35173,1.41359,0,0,0
EURAUD,EURCHF,1.35173,1.1792,0,0,0
EURAUD,EURGBP,1.35173,0.88662,0,0,0
EURAUD,EURJPY,1.35173,110.784,0,0,0
EURAUD,EURNZD,1.35173,1.6914,0,0,0
EURAUD,EURUSD,1.35173,1.44329,0,0,0
EURCAD,EURCHF,1.41359,1.1792,0,0,0
EURCAD,EURGBP,1.41359,0.88662,0,0,0
EURCAD,EURJPY,1.41359,110.784,0,0,0
EURCAD,EURNZD,1.41359,1.6914,0,0,0
EURCAD,EURUSD,1.41359,1.44329,0,0,0
EURCHF,EURGBP,1.1792,0.88662,0,0,0
EURCHF,EURJPY,1.1792,110.784,0,0,0
EURCHF,EURNZD,1.1792,1.6914,0,0,0
EURCHF,EURUSD,1.1792,1.44329,0,0,0
EURGBP,EURJPY,0.88662,110.784,0,0,0
EURGBP,EURNZD,0.88662,1.6914,0,0,0
EURGBP,EURUSD,0.88662,1.44329,0,0,0
EURJPY,EURNZD,110.784,1.6914,0,0,0
EURJPY,EURUSD,110.784,1.44329,0,0,0
EURNZD,EURUSD,1.6914,1.44329,0,0,0
GBPAUD,GBPCAD,1.52433,1.59422,0,0,0
GBPAUD,GBPCHF,1.52433,1.32994,0,0,0
GBPAUD,GBPJPY,1.52433,124.933,0,0,0
GBPAUD,GBPNZD,1.52433,1.90739,0,0,0
GBPAUD,GBPUSD,1.52433,1.62765,0,0,0
