close EURJPY at 109.01,,,,
buy GBPAUD at 1.5751, distance: 23.6,,,
close GBPAUD at 1.5747,,-4,,4
sell GBPCAD at 1.5998, distance: -11.4,,,
close GBPCAD at 1.6004,,-6,,6
sell EURCAD at 1.4, distance: -11,,,
close EURCAD at 1.4009,,-9,,9
sell EURJPY at 108.931, distance: -9,,,
close EURJPY at 108.887,,4.4,,-4.4
sell EURCHF at 1.0766, distance: -21.4,,,
close EURCHF at 1.0777,,-11,,11
buy GBPAUD at 1.5768, distance: 21.3,,,
close GBPAUD at 1.5763,,-5,,5
buy EURAUD at 1.3804, distance: 11.6,,,
close EURAUD at 1.3796,,-8,,8
buy EURUSD at 1.4186, distance: 10.6,,,
close EURUSD at 1.4192,,6,,-6
sell GBPAUD at 1.5738, distance: -24.1,,,
close GBPAUD at 1.5752,,-14,,14
buy GBPCHF at 1.2326, distance: 16.4,,,
close GBPCHF at 1.2326,,0,,0
buy EURCAD at 1.4017, distance: 12.4,,,
close EURCAD at 1.4013,,-4,,4
sell GBPCHF at 1.2314, distance: -18.3,,,
close GBPCHF at 1.2313,,1,,-1
sell GBPAUD at 1.5752, distance: -10.7,,,
close GBPAUD at 1.5763,,-11,,11
buy GBPCHF at 1.2313, distance: 7.8,,,
close GBPCHF at 1.2309,,-4,,4
buy GBPJPY at 124.46, distance: 5.9,,,
close GBPJPY at 124.394,,-6.6,,6.6
sell GBPAUD at 1.5747, distance: -15.8,,,
close GBPAUD at 1.5742,,5,,-5
sell GBPCHF at 1.2293, distance: -17.8,,,
close GBPCHF at 1.2299,,-6,,6
sell EURCAD at 1.3997, distance: -17,,,
close EURCAD at 1.4001,,-4,,4
sell EURCHF at 1.0756, distance: -17.2,,,
close EURCHF at 1.0761,,-5,,5
sell GBPCHF at 1.2273, distance: -17.1,,,
close GBPCHF at 1.2283,,-10,,10
buy EURCHF at 1.0765, distance: 10.9,,,
close EURCHF at 1.0796,,31,,-31
buy GBPCHF at 1.2327, distance: 58.5,,,
close GBPCHF at 1.2316,,-11,,-11
sell GBPAUD at 1.5729, distance: -14.6,,,
close GBPAUD at 1.5733,,-4,,4
sell EURCHF at 1.0773, distance: -17.8,,,
close EURCHF at 1.0782,,-9,,9
buy GBPCAD at 1.6012, distance: 15.4,,,
close GBPCAD at 1.6023,,11,,-11
buy GBPAUD at 1.5774, distance: 16.7,,,
close GBPAUD at 1.5765,,-9,,9
buy EURUSD at 1.4204, distance: 18.9,,,
close EURUSD at 1.4207,,3,,-3
buy GBPAUD at 1.5783, distance: 16.6,,,
close GBPAUD at 1.5787,,4,,-4
sell GBPCHF at 1.2253, distance: -42.1,,,
close GBPCHF at 1.2256,,-3,,-3
sell EURUSD at 1.416, distance: -16.1,,,
close EURUSD at 1.4164,,-4,,4
sell GBPAUD at 1.5768, distance: -14.6,,,
close GBPAUD at 1.577,,-2,,2
buy GBPCHF at 1.2265, distance: 39.5,,,
close GBPCHF at 1.2252,,-13,,-13
sell GBPAUD at 1.5753, distance: -23.4,,,
