pairs:,EUR/USD,EUR/CHF,EUR/GBP,EUR/JPY,GBP/CHF,GBP/JPY,GBP/USD,USD/CAD,USD/CHF,USD/JPY
0,3/64/13880,2/66/12900,-1/1/8639,2/52/11371,2/69/14929,2/54/13159,3/47/16063,-3/54/9735,0/0/9293,2/13/8192
5,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
10,4/99/13876,1/58/12901,3/31/8642,1/53/11368,1/57/14925,1/51/13152,4/59/16054,-2/50/9735,1/18/9296,1/17/8192
15,4/99/13871,1/58/12895,3/31/8642,1/56/11361,1/57/14919,1/55/13144,1/26/16049,-4/52/9739,1/20/9295,1/22/8190
20,-1/5/13872,2/54/12896,-1/5/8643,-1/4/11359,2/43/14918,2/44/13141,2/26/16048,1/1/9738,1/16/9296,0/0/8188
25,-1/4/13873,2/49/12896,-1/2/8644,-1/10/11360,2/30/14917,-1/8/13140,0/0/16047,1/3/9736,1/13/9295,-1/5/8188
30,3/69/13836,-1/14/12837,3/30/8631,-1/25/11319,-4/73/14872,-1/38/13114,3/36/16029,-3/33/9757,-6/67/9278,-4/55/8180
35,3/69/13834,1/1/12842,3/25/8633,-1/16/11320,-4/73/14874,-4/79/13112,-1/12/16023,-3/29/9754,-3/50/9282,-4/54/8182
40,3/74/13839,1/20/12862,3/26/8635,-2/12/11332,1/5/14892,-2/38/13122,-1/14/16024,-3/32/9749,1/11/9293,-4/46/8188
45,3/72/13843,1/25/12862,4/34/8643,1/5/11337,-2/33/14879,-2/51/13115,-1/22/16013,-1/29/9738,1/11/9291,-4/43/8189
50,2/62/13835,-1/28/12827,2/15/8626,-1/27/11323,-1/44/14867,-1/41/13124,2/42/16035,-2/23/9764,-5/77/9271,-1/33/8184
55,1/35/13813,1/10/12849,3/10/8618,1/19/11338,-3/46/14899,1/7/13148,1/22/16017,-1/18/9763,-3/48/9297,-2/23/8204
