End Date,CAD/JPY,EUR/AUD,EUR/CAD,EUR/CHF,EUR/GBP,EUR/JPY,EUR/USD,GBP/AUD,GBP/CAD,GBP/CHF,GBP/JPY,GBP/USD,ZAR/JPY
07/28/2011,81.9,1.3021,1.3603,1.1485,0.8756,111.41,1.4335,1.4869,1.5535,1.3116,127.23,1.6371,11.54
07/27/2011,82.04,1.3039,1.3639,1.1506,0.8797,111.89,1.436,1.4821,1.5503,1.3078,127.19,1.6323,11.68
07/26/2011,82.62,1.3249,1.3691,1.163,0.8839,113.11,1.4508,1.4989,1.5488,1.3156,127.96,1.6414,11.67
07/25/2011,82.66,1.3254,1.3621,1.159,0.8831,112.6,1.4381,1.5009,1.5425,1.3125,127.51,1.6286,11.57
07/22/2011,82.86,1.3234,1.3613,1.1761,0.8807,112.78,1.436,1.5021,1.545,1.3351,128.04,1.63,11.59
,,,,,,,,,,,,,
07/28/2011,82.42,1.3113,1.3655,1.1587,0.8821,112.58,1.4458,1.4864,1.5479,1.3134,127.61,1.6389,11.67
07/27/2011,82.69,1.3248,1.3655,1.161,0.8842,112.95,1.4464,1.4982,1.5442,1.313,127.73,1.6357,11.62
07/26/2011,82.53,1.3262,1.3632,1.162,0.882,112.55,1.4373,1.5035,1.5454,1.3174,127.59,1.6294,11.52
07/25/2011,82.73,1.3222,1.3602,1.1748,0.8802,112.71,1.4357,1.5013,1.544,1.3333,127.91,1.6297,11.5
07/23/2011,82.92,1.3262,1.3615,1.1772,0.8823,112.94,1.4386,1.503,1.543,1.3341,127.99,1.6304,11.58
,,,,,,,,,,,,,
07/28/2011,-27,-135,0,-23,-21,-37,-6,-118,37,4,-12,32,5
07/27/2011,16,-14,23,-10,22,40,91,-53,-12,-44,14,63,10
07/26/2011,-20,40,30,-128,18,-16,16,22,14,-159,-32,-3,2
07/25/2011,-19,-40,-13,-24,-21,-23,-29,-17,10,-8,-8,-7,-8
,,,,,,,,,,,,,
07/28/2011,-14,18,-36,,,,,,,,,,
07/27/2011,58,-210,-52,,,,,,,,,,
07/26/2011,4,5,-70,,,,,,,,,,
