,,all time,last 5 years,
AUD/CAD,AUD/JPY,0.37,0.25,
AUD/CAD,AUD/NZD,-0.15,0.59,
AUD/CAD,AUD/USD,0.51,0.91,
AUD/CAD,CAD/JPY,-0.2,-0.22,
AUD/CAD,CHF/JPY,0.16,0.1,
AUD/CAD,EUR/AUD,-0.53,-0.77,
AUD/CAD,EUR/CAD,0.36,-0.22,
AUD/CAD,EUR/CHF,-0.18,-0.57,
AUD/CAD,EUR/DKK,-0.09,-0.06,
AUD/CAD,EUR/GBP,0.37,0.39,
AUD/CAD,EUR/JPY,0.19,-0.27,
AUD/CAD,EUR/NZD,-0.52,-0.52,
AUD/CAD,EUR/USD,0.51,0.5,
AUD/CAD,GBP/AUD,-0.59,-0.75,
AUD/CAD,GBP/CAD,-0.01,-0.47,
AUD/CAD,GBP/CHF,-0.34,-0.5,
AUD/CAD,GBP/JPY,-0.17,-0.35,
AUD/CAD,GBP/USD,0.08,-0.1,
AUD/CAD,NZD/CAD,0.85,0.55,
AUD/CAD,NZD/JPY,0.36,0,
AUD/CAD,NZD/USD,0.55,0.75,
AUD/CAD,SGD/JPY,0.22,-0.18,
AUD/CAD,USD/CAD,-0.1,-0.67,
AUD/CAD,USD/CHF,-0.39,-0.8,
AUD/CAD,USD/DKK,-0.46,-0.51,
AUD/CAD,USD/HKD,-0.52,0.18,
AUD/CAD,USD/JPY,-0.31,-0.54,
AUD/CAD,ZAR/JPY,0.5,-0.23,
AUD/JPY,AUD/NZD,-0.27,-0.37,
AUD/JPY,AUD/USD,0.69,0.39,
AUD/JPY,CAD/JPY,0.91,0.89,
AUD/JPY,CHF/JPY,0.83,0.9,
AUD/JPY,EUR/AUD,-0.35,-0.33,
AUD/JPY,EUR/CAD,0.06,-0.19,
AUD/JPY,EUR/CHF,0.27,0.49,
AUD/JPY,EUR/DKK,0.28,0.26,
AUD/JPY,EUR/GBP,0.28,-0.65,
AUD/JPY,EUR/JPY,0.87,0.77,
AUD/JPY,EUR/NZD,-0.56,-0.58,
AUD/JPY,EUR/USD,0.77,0.38,
AUD/JPY,GBP/AUD,-0.36,0.29,
AUD/JPY,GBP/CAD,-0.19,0.52,
AUD/JPY,GBP/CHF,0.22,0.64,
