pair,margin used,units,1 pip,ratio,new margin,new units,new 1 pip,,last margin,last units,last 1 pip
EUR/USD,744,"26,350",2.64,1.49558080808081,1112.71212121212,"39,400",3.94,0.754302120988728,839.321113080169,"29,800",2.98
AUD/USD,744,"34,900",3.49,1.13132760267431,841.707736389687,"39,500",3.95,0.754302120988728,634.901930811362,,2.98
EUR/CHF,744,"26,350",3.22,1.22619047619048,912.285714285717,"32,300",3.94,0.754302120988728,688.139049233433,,2.98
EUR/JPY,744,"26,350",3.33,1.18568568568568,882.150150150146,"31,300",3.95,0.754302120988728,665.40772928878,,2.98
GBP/USD,744,"23,100",2.31,1.70923520923521,1271.670995671,"39,500",3.95,0.754302120988728,959.224129234483,,2.98
GBP/JPY,744,"23,100",2.92,1.35216894977169,1006.01369863014,"31,200",3.94,0.754302120988728,758.83826662043,,2.98
NZD/USD,744,"44,200",4.42,0.893288084464554,664.606334841628,"39,500",3.95,0.754302120988728,501.313967993585,,2.98
USD/CAD,744,"37,200",3.88,1.0176116838488,757.103092783507,"37,800",3.95,0.754302120988728,571.084468693725,,2.98
USD/CHF,744,"37,200",4.54,0.869676945668134,647.039647577092,"32,300",3.94,0.754302120988728,488.0633785312,,2.98
USD/JPY,744,"37,200",4.7,0.840070921985815,625.012765957446,"31,300",3.95,0.754302120988728,471.448455006733,,2.98
AUD/CAD,744,"34,900",3.64,1.08470695970696,807.021978021978,"37,900",3.95,0.754302120988728,608.738389706497,,2.98
AUD/JPY,744,"34,900",4.4,0.897348484848484,667.627272727272,"31,300",3.96,0.754302120988728,503.592667848101,,2.98
CAD/JPY,744,"35,600",4.49,0.879361544172234,654.244988864142,"31,300",3.96,0.754302120988728,493.498382746469,,2.98
CHF/JPY,744,"30,500",3.85,1.02554112554112,763.002597402593,"31,200",3.95,0.754302120988728,575.534477540684,,2.98
EUR/AUD,744,"26,300",2.8,1.41011904761905,1049.12857142857,"37,200",3.96,0.754302120988728,791.359906618445,,2.98
EUR/CAD,744,"26,300",2.75,1.43575757575757,1068.20363636363,"37,900",3.96,0.754302120988728,805.748268556958,,2.98
EUR/GBP,744,"26,300",4.24,0.931210691823899,692.820754716981,"24,500",3.95,0.754302120988728,522.59616474803,"18,500",2.98
GBP/AUD,744,"23,100",2.46,1.6050135501355,1194.13008130081,"37,000",3.95,0.754302120988728,900.734853061643,,2.98
GBP/CAD,744,"23,100",2.41,1.63831258644537,1218.90456431536,"37,800",3.95,0.754302120988728,919.422298145917,,2.98
GBP/CHF,744,"23,100",2.82,1.40011820330969,1041.68794326241,"32,300",3.95,0.754302120988728,785.747425011222,,2.98
NZD/CAD,744,"44,200",4.62,0.854617604617604,635.835497835497,"37,800",3.95,0.754302120988728,479.612064617239,,2.98
NZD/JPY,744,"44,200",5.58,0.707586618876941,526.444444444444,"31,200",3.95,0.754302120988728,397.098161027177,,2.98
SGD/JPY,744,"18,100",2.29,1.72416302765648,1282.77729257642,"31,200",3.95,0.754302120988728,967.601632546572,,2.98
ZAR/JPY,744,"102,600",12.96,0.304655349794238,226.663580246913,"31,200",3.95,0.754302120988728,170.972819331145,,2.98
,17856,,3.94833333333333,,20548.7954610055,,94.8,,15500,,71.52
