EUR/USD,0.9,1.2,,AUD/CAD,,AUDCAD
AUD/USD,1.3,1.9,,AUD/JPY,,AUDJPY
EUR/CHF,2.2,2.7,,AUD/NZD,,AUDUSD
EUR/JPY,1.8,2.5,,AUD/USD,,CADJPY
GBP/USD,1.9,2.3,,CAD/JPY,,CHFJPY
GBP/JPY,2.6,4,,CHF/JPY,,EURAUD
NZD/USD,2.4,2.5,,EUR/AUD,,EURCAD
USD/CAD,2.5,2.4,,EUR/CAD,,EURCHF
USD/CHF,2.3,2.2,,EUR/CHF,,EURGBP
USD/JPY,0.9,1.2,,EUR/DKK,,EURJPY
AUD/CAD,3.5,3,,EUR/GBP,,EURUSD
AUD/JPY,1.9,2.3,,EUR/JPY,,GBPAUD
CAD/JPY,2.8,2.8,,EUR/NZD,,GBPCAD
CHF/JPY,2.6,2.3,,EUR/USD,,GBPCHF
EUR/AUD,3.3,2.4,,GBP/AUD,,GBPJPY
EUR/CAD,3.9,6,,GBP/CAD,,GBPUSD
EUR/GBP,1.4,1.2,,GBP/CHF,,NZDCAD
GBP/AUD,3.6,4.8,,GBP/JPY,,NZDJPY
GBP/CAD,5.5,3.7,,GBP/USD,,NZDUSD
GBP/CHF,4,3.4,,NZD/CAD,,USDCAD
NZD/CAD,5,2.7,,NZD/JPY,,USDCHF
NZD/JPY,3.5,2.8,,NZD/USD,,USDJPY
ZAR/JPY,4.6,1.4,,SGD/JPY,,ZARJPY
,2.8,2.68260869565217,,USD/CAD,,
,,,,USD/CHF,,
,,,,USD/DKK,,
,,,,USD/HKD,,
,,,,USD/JPY,,
,,,,ZAR/JPY,,
,,,,,,
,,,,,,
bases:,quotes:,,,,,
EUR,USD,,AUD,,,
AUD,CHF,,CAD,,,
GBP,JPY,,CHF,,,
NZD,CAD,,EUR,,,
USD,AUD,,GBP,,,
CAD,GBP,,JPY,,,
CHF,,,NZD,,,
ZAR,,,USD,,,
,,,ZAR,,,
