1st pair,2nd pair,1st base price,2nd base price,top pair,streak,spread
AUDCAD,AUDCHF,1.0456,0.87225,1,1,2.16042594
AUDCAD,AUDJPY,1.0456,81.948,2,0,0.65800381
AUDCAD,AUDNZD,1.0456,1.25103,2,0,0.77775533
AUDCAD,AUDUSD,1.0456,1.06757,2,3,0.43430096
AUDCHF,AUDJPY,0.87225,81.948,2,1,2.81842975
AUDCHF,AUDNZD,0.87225,1.25103,2,1,2.93818127
AUDCHF,AUDUSD,0.87225,1.06757,2,1,2.59472689
AUDJPY,AUDNZD,81.948,1.25103,2,0,0.11975152
AUDJPY,AUDUSD,81.948,1.06757,1,0,0.22370286
AUDNZD,AUDUSD,1.25103,1.06757,1,0,0.34345438
CADCHF,CADJPY,0.83407,78.358,2,1,2.79166231
EURAUD,EURCAD,1.35173,1.41359,2,1,0.10225823
EURAUD,EURCHF,1.35173,1.1792,1,1,1.99690776
EURAUD,EURGBP,1.35173,0.88662,2,1,1.19084885
EURAUD,EURJPY,1.35173,110.784,2,1,0.75464388
EURAUD,EURNZD,1.35173,1.6914,2,0,0.87445249
EURAUD,EURUSD,1.35173,1.44329,2,1,0.53327357
EURCAD,EURCHF,1.41359,1.1792,1,1,2.09916598
EURCAD,EURGBP,1.41359,0.88662,2,1,1.08859063
EURCAD,EURJPY,1.41359,110.784,2,0,0.65238566
EURCAD,EURNZD,1.41359,1.6914,2,0,0.77219427
EURCAD,EURUSD,1.41359,1.44329,2,3,0.43101535
EURCHF,EURGBP,1.1792,0.88662,2,1,3.18775661
EURCHF,EURJPY,1.1792,110.784,2,1,2.75155164
EURCHF,EURNZD,1.1792,1.6914,2,1,2.87136025
EURCHF,EURUSD,1.1792,1.44329,2,1,2.53018133
EURGBP,EURJPY,0.88662,110.784,1,1,0.43620497
EURGBP,EURNZD,0.88662,1.6914,1,0,0.31639636
EURGBP,EURUSD,0.88662,1.44329,1,0,0.65757528
EURJPY,EURNZD,110.784,1.6914,2,0,0.11980861
EURJPY,EURUSD,110.784,1.44329,1,0,0.22137031
EURNZD,EURUSD,1.6914,1.44329,1,0,0.34117892
GBPAUD,GBPCAD,1.52433,1.59422,2,1,0.09599285
GBPAUD,GBPCHF,1.52433,1.32994,1,1,2.01734481
GBPAUD,GBPJPY,1.52433,124.933,2,1,0.75503085
GBPAUD,GBPNZD,1.52433,1.90739,2,1,0.87402125
GBPAUD,GBPUSD,1.52433,1.62765,2,1,0.53067346
GBPCAD,GBPCHF,1.59422,1.32994,1,1,2.11333766
GBPCAD,GBPJPY,1.59422,124.933,2,0,0.659038
GBPCAD,GBPNZD,1.59422,1.90739,2,0,0.7780284
GBPCAD,GBPUSD,1.59422,1.62765,2,3,0.43468062
GBPCHF,GBPJPY,1.32994,124.933,2,1,2.77237566
