pair,price,streak,percent deltas
AUD/CAD,1.01179,-2,0.3400103800791934
AUD/CHF,0.87771,1,0.039892404486181435
AUD/HKD,7.50723,-3,2.2090975780424302
AUD/JPY,74.183,-3,1.8895530621962355
AUD/NZD,1.26619,-2,0.6718498570955914
AUD/SGD,1.26337,-3,0.8323000480765734
AUD/USD,0.96381,-3,2.1505505726633753
CAD/CHF,0.86731,2,0.2796282696281967
CAD/HKD,7.41814,-3,2.2151168215067036
CAD/JPY,73.304,-3,1.8806835672043034
CAD/SGD,1.24834,1,0.004806613900723314
CHF/HKD,8.54942,-3,1.7478859236020463
CHF/JPY,84.485,-3,1.433777518559978
CHF/ZAR,8.90548,-1,0.5624256770714018
EUR/AUD,1.38262,-2,0.32323013980482684
EUR/CAD,1.39916,-2,0.6548672190457818
EUR/CHF,1.21386,-3,0.5097423445171351
EUR/DKK,7.4405,-3,0.024456276247887872
EUR/GBP,0.85759,-3,1.4118013323553469
EUR/HKD,10.38165,-3,2.2363425307993174
EUR/JPY,102.59,-3,1.9177207454287286
EUR/NZD,1.75116,-2,0.9806527947539979
EUR/SGD,1.74702,-3,0.8670298297364633
EUR/USD,1.33287,-3,2.175667625409265
EUR/ZAR,10.8135,-1,0.6460053970071232
GBP/AUD,1.61199,3,1.385550193138498
GBP/CAD,1.63134,3,1.3784469030392346
GBP/CHF,1.41533,5,1.0297300081827188
GBP/HKD,12.10328,-3,0.8377353945487008
GBP/JPY,119.606,1,0.05688567652127176
GBP/NZD,2.04131,3,1.8625495755196315
GBP/SGD,2.03677,2,0.6151705296538181
GBP/USD,1.55387,-3,0.7789850245323661
GBP/ZAR,12.60721,-1,0.05390831305825934
HKD/JPY,9.87983,2,0.5146728197782446
NZD/CAD,0.79878,2,0.3251500895070809
NZD/CHF,0.69291,2,0.5973126286607884
NZD/HKD,5.92635,-3,2.6860487628702296
NZD/JPY,58.557,-3,2.3686311021374906
NZD/SGD,0.9973,2,0.30869022804050583
NZD/USD,0.76088,-3,2.6234197551579164
SGD/CHF,0.69448,3,0.3682334295675396
SGD/HKD,5.9402,-3,1.3677632453636837
SGD/JPY,58.699,-3,1.050428685460232
TRY/JPY,41.328,1,0.2766050371233181
USD/CAD,1.04972,3,2.1645122797751846
USD/CHF,0.91067,3,1.6874606528991345
USD/DKK,5.58207,3,2.1719550086498374
USD/HKD,7.78912,-4,0.07788959939842338
USD/JPY,76.97,2,0.45499049757007326
USD/SGD,1.31077,3,1.325023579696588
USD/ZAR,8.11343,3,3.201824116031623
ZAR/JPY,9.459,-3,3.068655137401428
