,MARKET,UNITS,EXPOSURE (USD),AVG. PRICE,CURRENT,PROFIT (USD),PROFIT (PIPS),PROFIT (%)
Long,AUD/CAD,1,0.96,1.00779,1.00877,0.00,9.8,0.10
Long,AUD/CHF,1,0.96,0.88862,0.87521,-0.01,-134.1,-1.51
Long,AUD/HKD,1,0.96,7.61734,7.47733,-0.02,-1400.1,-1.84
Long,AUD/JPY,1,0.96,74.684,73.690,-0.01,-99.4,-1.33
Long,AUD/NZD,1,0.96,1.26348,1.26604,0.00,25.6,0.20
Long,AUD/SGD,1,0.96,1.27039,1.25817,-0.01,-122.2,-0.96
Long,AUD/USD,1,0.96,0.97684,0.96025,-0.02,-165.9,-1.70
Long,CAD/CHF,1,0.95,0.88223,0.86750,-0.02,-147.3,-1.67
Long,CAD/HKD,1,0.95,7.56047,7.41168,-0.02,-1487.9,-1.97
Long,CAD/JPY,1,0.95,74.136,73.041,-0.01,-109.5,-1.48
Long,CAD/SGD,1,0.95,1.26016,1.24709,-0.01,-130.7,-1.04
Long,CHF/HKD,1,1.10,8.57396,8.54085,-0.00,-331.1,-0.39
Long,CHF/JPY,1,1.10,84.078,84.178,0.00,10.0,0.12
Long,CHF/ZAR,1,1.10,8.94341,8.96073,0.00,173.2,0.19
Long,EUR/AUD,1,1.33,1.37385,1.38657,0.01,127.2,0.93
Long,EUR/CAD,1,1.33,1.38548,1.39889,0.01,134.1,0.97
Long,EUR/CHF,1,1.33,1.22186,1.21379,-0.01,-80.7,-0.66
Long,EUR/DKK,1,1.33,7.44261,7.44178,-0.00,-8.3,-0.01
Long,EUR/GBP,1,1.33,0.86918,0.85956,-0.01,-96.2,-1.11
Long,EUR/HKD,1,1.33,10.46946,10.36898,-0.01,-1004.8,-0.96
Long,EUR/JPY,1,1.33,102.597,102.193,-0.01,-40.4,-0.39
Long,EUR/NZD,1,1.33,1.73552,1.75580,0.02,202.8,1.17
Long,EUR/SGD,1,1.33,1.74568,1.74476,-0.00,-9.2,-0.05
Long,EUR/USD,1,1.33,1.34186,1.33160,-0.01,-102.6,-0.76
Long,EUR/ZAR,1,1.33,10.91722,10.87844,-0.00,-387.8,-0.36
Long,GBP/AUD,1,1.55,1.58162,1.61290,0.03,312.8,1.98
Long,GBP/CAD,1,1.55,1.59394,1.62743,0.03,334.9,2.10
Long,GBP/CHF,1,1.55,1.40589,1.41200,0.01,61.1,0.43
Long,GBP/HKD,1,1.55,12.04450,12.06255,0.00,180.5,0.15
Long,GBP/JPY,1,1.55,118.023,118.884,0.01,86.1,0.73
Long,GBP/NZD,1,1.55,1.99836,2.04250,0.03,441.4,2.21
Long,GBP/SGD,1,1.55,2.00903,2.02970,0.02,206.7,1.03
Long,GBP/USD,1,1.55,1.54398,1.54909,0.01,51.1,0.33
Long,GBP/ZAR,1,1.55,12.56853,12.65507,0.01,865.4,0.69
Long,HKD/JPY,1,0.13,9.79785,9.85469,0.00,568.4,0.58
Long,NZD/CAD,1,0.76,0.79748,0.79654,-0.00,-9.4,-0.12
Long,NZD/CHF,1,0.76,0.70389,0.69102,-0.01,-128.7,-1.83
Long,NZD/HKD,1,0.76,6.02689,5.90384,-0.02,-1230.5,-2.04
Long,NZD/JPY,1,0.76,59.052,58.187,-0.01,-86.5,-1.46
Long,NZD/SGD,1,0.76,1.00533,0.99338,-0.01,-119.5,-1.19
Long,NZD/USD,1,0.76,0.77244,0.75816,-0.01,-142.8,-1.85
Long,SGD/CHF,1,0.76,0.70028,0.69528,-0.01,-50.0,-0.71
Long,SGD/HKD,1,0.76,5.99575,5.94009,-0.01,-556.6,-0.93
Long,SGD/JPY,1,0.76,58.768,58.541,-0.00,-22.7,-0.39
Long,TRY/JPY,1,0.53,41.686,40.957,-0.01,-72.9,-1.75
Long,USD/CAD,1,1.00,1.03244,1.05043,0.02,179.9,1.74
Long,USD/CHF,1,1.00,0.91111,0.91144,0.00,3.3,0.04
Long,USD/DKK,1,1.00,5.54873,5.58808,0.01,393.5,0.71
Long,USD/HKD,1,1.00,7.80089,7.78686,-0.00,-140.3,-0.18
Long,USD/JPY,1,1.00,76.415,76.742,0.00,32.7,0.43
Long,USD/SGD,1,1.00,1.30149,1.31025,0.01,87.6,0.67
Long,USD/ZAR,1,1.00,8.14618,8.16945,0.00,232.7,0.29
Long,ZAR/JPY,1,0.12,9.412,9.385,-0.00,-2.7,-0.29
