pair,price,streak,percent deltas
AUD/CAD,1.00877,-3,0.6384912901494671
AUD/CHF,0.87521,-1,0.2848321199484963
AUD/HKD,7.47733,-4,2.6073803001649654
AUD/JPY,73.69,-4,2.5541258079735822
AUD/NZD,1.26604,-3,0.6836964204075645
AUD/SGD,1.25817,-4,1.2438976006542104
AUD/USD,0.96025,-4,2.5199179791023933
CAD/CHF,0.8675,3,0.3015350849537462
CAD/HKD,7.41168,-4,2.30220064575376
CAD/JPY,73.041,-4,2.2394634427909086
CAD/SGD,1.24709,-1,0.10013297659291324
CHF/HKD,8.54085,-4,1.8481266416858328
CHF/JPY,84.178,-4,1.7971556330181684
CHF/ZAR,8.96073,1,0.6204045149727935
EUR/AUD,1.38657,1,0.2856894880733767
EUR/CAD,1.39889,-3,0.6741645117070924
EUR/CHF,1.21379,-4,0.5155090721463521
EUR/DKK,7.44178,1,0.01720314494992949
EUR/GBP,0.85956,1,0.22971349945778605
EUR/HKD,10.36898,-4,2.3583847880512954
EUR/JPY,102.193,-4,2.304698033663455
EUR/NZD,1.7558,1,0.2649672217273109
EUR/SGD,1.74476,-4,0.996392973833264
EUR/USD,1.3316,-4,2.270950736290304
EUR/ZAR,10.87844,1,0.6005456142784482
GBP/AUD,1.6129,4,1.4420021562400038
GBP/CAD,1.62743,-1,0.23968026285140315
GBP/CHF,1.412,-1,0.23528081790112942
GBP/HKD,12.06255,-4,1.174255742751832
GBP/JPY,118.884,-1,0.6036486463889723
GBP/NZD,2.0425,4,1.920845473741842
GBP/SGD,2.0297,-1,0.34711823131723907
GBP/USD,1.54909,-4,1.086604066022324
GBP/ZAR,12.65507,1,0.37962404052918935
HKD/JPY,9.85469,-1,0.2544578196183576
NZD/CAD,0.79654,-1,0.280427652169561
NZD/CHF,0.69102,-1,0.27276269645409335
NZD/HKD,5.90384,-4,3.065877831352524
NZD/JPY,58.187,-4,3.000494073259653
NZD/SGD,0.99338,-1,0.39306126541661723
NZD/USD,0.75816,-4,2.980900566849649
SGD/CHF,0.69528,4,0.48342753162951735
SGD/HKD,5.94009,-4,1.3696150348657252
SGD/JPY,58.541,-4,1.3195985179957117
TRY/JPY,40.957,-1,0.897696476964775
USD/CAD,1.05043,4,2.232149363950011
USD/CHF,0.91144,4,1.7720137841102261
USD/DKK,5.58808,4,2.2796211611703154
USD/HKD,7.78686,-5,0.1069044303420949
USD/JPY,76.742,-1,0.2962193062231966
USD/SGD,1.31025,-1,0.03967133822105144
USD/ZAR,8.16945,4,3.8922842543455074
ZAR/JPY,9.385,-4,3.85097885026748
