,MARKET,UNITS,EXPOSURE (USD),AVG. PRICE,CURRENT,PROFIT,PROFIT (%)
Short,AUD/CAD,31000.00000,33663.83000,1.01691,1.03072,-0.01381,-1.36
Long,AUD/JPY,26000.00000,28238.86000,84.29000,85.10800,0.81800,0.97
Long,AUD/USD,32000.00000,34755.52000,1.06689,1.08593,0.01904,1.78
Long,CAD/JPY,26000.00000,27403.32000,83.00700,82.58400,-0.42300,-0.51
Short,CHF/JPY,26000.00000,31836.60000,96.67400,95.99700,0.67700,0.7
Long,EUR/AUD,30000.00000,43072.50000,1.32876,1.32185,-0.00691,-0.52
Long,EUR/CAD,31000.00000,44508.25000,1.35192,1.36224,0.01032,0.76
Long,EUR/CHF,27000.00000,38765.25000,1.16163,1.17221,0.01058,0.91
Long,EUR/GBP,20000.00000,28715.00000,0.87763,0.88189,0.00426,0.49
Long,EUR/JPY,26000.00000,37329.50000,111.81800,112.51600,0.69800,0.62
Long,EUR/USD,32000.00000,45944.00000,1.41539,1.43564,0.02025,1.43
Long,GBP/AUD,30000.00000,48839.70000,1.50808,1.49882,-0.00926,-0.61
Long,GBP/CAD,31000.00000,50467.69000,1.53430,1.54457,0.01027,0.67
Long,GBP/CHF,27000.00000,43955.73000,1.31652,1.32911,0.01259,0.96
Long,GBP/JPY,26000.00000,42327.74000,127.94700,127.57500,-0.37200,-0.29
Long,GBP/USD,32000.00000,52095.68000,1.61298,1.62777,0.01479,0.92
Long,NZD/CAD,31000.00000,26778.73000,0.81334,0.81952,0.00618,0.76
Long,NZD/JPY,26000.00000,22459.58000,66.88700,67.68300,0.79600,1.19
Long,NZD/USD,32000.00000,27642.56000,0.85322,0.86361,0.01039,1.22
Short,USD/CAD,31000.00000,31000.00000,0.95077,0.94903,0.00174,0.18
Long,USD/CHF,27000.00000,27000.00000,0.82005,0.81649,-0.00356,-0.43
Short,USD/JPY,26000.00000,26000.00000,78.96700,78.38300,0.58400,0.74
Long,ZAR/JPY,26000.00000,3835.29000,11.38000,11.55000,0.17000,1.49
