,MARKET,UNITS,EXPOSURE (USD),AVG. PRICE,CURRENT,PROFIT (USD),PROFIT (PIPS),PROFIT (%)
Short,CAD/JPY,62000.00000,65168.49000,81.13000,80.90000,185.47,23,0.28
Long,EUR/AUD,59000.00000,85099.83000,1.31187,1.30491,-453.88,-69.6,-0.53
Long,EUR/CAD,89000.00000,128370.93000,1.37413,1.37186,-212.41,-22.7,-0.17
Short,EUR/CHF,49000.00000,70671.72000,1.14710,1.13047,"1,039.88",166.3,1.45
Long,EUR/GBP,1000.00000,1442.37000,0.87572,0.87914,5.61,34.2,0.39
Short,EUR/JPY,25000.00000,36057.00000,111.24300,110.99000,82.2,25.3,0.23
Long,EUR/USD,20000.00000,28847.40000,1.43372,1.44228,171.2,85.6,0.6
Long,GBP/AUD,64000.00000,104995.20000,1.49465,1.48407,-748.45,-105.8,-0.71
Long,GBP/CAD,100000.00000,164055.00000,1.56409,1.56033,-395.61,-37.6,-0.24
Short,GBP/CHF,56000.00000,91858.48000,1.29965,1.28583,987.71,138.2,1.06
Short,GBP/JPY,29000.00000,47569.57000,127.03200,126.24600,296.2,78.6,0.62
Long,GBP/USD,23000.00000,37732.65000,1.63683,1.64033,80.5,35,0.21
Short,ZAR/JPY,3000.00000,449.87000,11.59900,11.54900,1.95,5,0.43
