,MARKET,UNITS,EXPOSURE (USD),AVG. PRICE,CURRENT,PROFIT (USD),PROFIT (PIPS),PROFIT (%)
Long,CAD/JPY,28000.00000,29145.41000,80.91000,80.56000,-126.6,-35,-0.43
Short,EUR/AUD,55000.00000,77958.10000,1.30520,1.30807,-171.09,-28.7,-0.22
Short,EUR/CAD,21000.00000,29765.82000,1.37172,1.36208,210.67,96.4,0.7
Short,EUR/CHF,32000.00000,45357.44000,1.14711,1.10570,"1,698.81",414.1,3.61
Long,EUR/GBP,19000.00000,26932.69000,0.87913,0.87240,-207.78,-67.3,-0.77
Long,EUR/JPY,26000.00000,36855.26000,110.99100,109.72100,-426.57,-127,-1.14
Long,EUR/USD,76000.00000,107730.76000,1.44024,1.41742,"-1,734.40",-228.2,-1.58
Short,GBP/AUD,110000.00000,178703.80000,1.48456,1.49935,"-1,763.32",-147.9,-1
Short,GBP/CAD,73000.00000,118594.34000,1.56022,1.56120,-74.47,-9.8,-0.06
Short,GBP/CHF,73000.00000,118594.34000,1.29634,1.26732,"2,715.65",290.2,2.24
Short,GBP/JPY,5000.00000,8122.90000,126.34300,125.78800,35.84,55.5,0.44
Long,GBP/USD,26000.00000,42244.80000,1.63729,1.62458,-330.5,-127.1,-0.78
Long,ZAR/JPY,2000.00000,295.77000,11.54900,11.43800,-2.87,-11.1,-0.96
